sample_index,label,base_score,top_deleted_score,random_deleted_score,comprehensiveness,random_comprehensiveness,sufficiency,random_sufficiency,top_terms
0,usability,0.47963224388059483,0.46355614831423186,0.4773420515398359,0.01607609556636297,0.0022901923407589453,-0.11522500653633544,0.01932726626115444,"use, be able, able to"
1,availability,0.41795775977666,0.41795775977666,0.41795775977665994,0.0,5.551115123125783e-17,0.0,-1.0871429195757898e-07,"by, users, and"
1,security,0.4494159536398945,0.4488533293715307,0.4494784624463772,0.0005626242683637872,-6.25088064826751e-05,-0.022207586364574372,-0.0004863502398878561,"disputes system, users, disputes"
2,operability,0.4421976016280378,0.43558910549084434,0.4418667485208032,0.0066084961371934425,0.0003308531072345744,-0.04383701351276609,0.003193799879897097,"be, shall be, to be"
3,look_and_feel,0.5169945287482406,0.4749227646790713,0.5034937159602477,0.04207176406916929,0.013500812787992866,0.032143417949924535,0.0603288466579423,"ship, simulate the, simulate"
4,operability,0.446975708148865,0.4356321855042907,0.44505474966115244,0.011343522644574278,0.0019209584877125652,-0.04050090058238681,0.006761169469961692,"environment, operate within, operate"
5,usability,0.49070198846415525,0.4602674863867486,0.48267515999511884,0.030434502077406667,0.008026828469036407,-0.025176633878534416,0.0194408475811218,"use, shall use, navigation"
6,performance,0.5268637933460374,0.46710439425341577,0.5202328035142136,0.05975939909262162,0.006630989831823753,-0.1298811633339414,0.06349271941148327,"seconds, time, response time"
7,availability,0.4671335286332083,0.4179866149189388,0.45731737061639227,0.04914691371426949,0.009816158016816012,-0.10165302130387327,0.021543374609805488,"available, be available, technical"
7,fault_tolerance,0.39909117449370546,0.39909117449370546,0.3993552820746572,0.0,-0.0002641075809517446,-0.00715917556211032,-0.001324876177883183,"available, available to, be"
8,look_and_feel,0.4431316908373646,0.4419923225093722,0.44415885962397667,0.001139368327992385,-0.001027168786612076,-0.007052991986376322,-0.0017200881784661948,"and, products, allow"
8,usability,0.48917504029480186,0.455282506308007,0.47947168160533143,0.03389253398679487,0.00970335868947042,-0.037054911382468414,0.012670613416946697,"and, shall allow, allow"
9,operability,0.43558910549084434,0.43558910549084434,0.4355891054908444,0.0,-5.551115123125783e-17,0.0,-1.8806753032729606e-05,"user, of the, of"
10,availability,0.4775703428863625,0.4205758015300231,0.4637439235355539,0.05699454135633941,0.013826419350808639,-0.043782634450960145,0.04273200163738816,"time, shall achieve, achieve"
11,security,0.4502454704844826,0.4488533293715307,0.4501176324279925,0.0013921411129518835,0.00012783805649008162,-0.011613927647356526,0.0001476023449483721,"security, and or, the system"
12,performance,0.6037484766796651,0.5310521681548154,0.5813483851200378,0.07269630852484976,0.0224000915596273,0.06497560500324429,0.13485962674307744,"minutes, 10, shall let"
12,usability,0.5202589067836006,0.48874644963637737,0.5068788913029441,0.03151245714722328,0.013380015480656593,0.020505530119866777,0.053713899787588726,"minutes, under, in under"
13,operability,0.45823836793244105,0.44085900074076695,0.45477393380044767,0.0173793671916741,0.003464434131993377,-0.00023361636113622408,0.014849598533683284,"server, servers, available for"
14,security,0.4488533293715307,0.4566933906142905,0.4491708770500074,-0.007840061242759766,-0.00031754767847669285,0.0,-0.0009509617032134043,"the product, product shall, product"
15,security,0.5446179602863199,0.46855218181185965,0.5331136671899608,0.07606577847446028,0.011504293096359142,-0.1746160741032461,0.07984934998853233,"authorized, only, access"
16,operability,0.4705012720866101,0.44212671624127087,0.4703088118705054,0.02837455584533921,0.0001924602161046951,-0.07053427746143592,0.027961126627706168,"with, server, database"
16,portability,0.46748705839980315,0.4269695641193606,0.46082354886703775,0.040517494280442545,0.006663509532765399,-0.024445342608478582,0.06131824249160023,"systems, the product, product"
17,scalability,0.4178278011019074,0.4057713640070018,0.4170117460491778,0.012056437094905614,0.0008160550527296362,-0.02962847905993482,0.008414656732705028,"minimum, minimum of, for minimum"
18,usability,0.456436569022872,0.4552785788073265,0.45596889580449274,0.0011579902155455235,0.0004676732183792609,0.0010002454320671705,0.0007741875084933958,"users, all, using the"
19,maintainability,0.42025829571455653,0.4117989825261484,0.41836555660287866,0.008459313188408146,0.0018927391116778658,-0.020883920094638297,0.0027657405018811088,"statistics, will be, will"
19,operability,0.44324075047677114,0.43558910549084434,0.442703438651306,0.007651644985926798,0.0005373118254651255,-0.03941915604851787,0.0016019079948778048,"used, database, be used"
20,security,0.4543984696447361,0.4488533293715307,0.45393024062144904,0.005545140273205407,0.00046822902328708116,-0.07466560428645613,0.002860788618831378,"data, information, data from"
20,usability,0.4548961130952169,0.4540550221748086,0.4551357872251458,0.0008410909204082939,-0.000239674129928924,-0.021202122491333852,-0.000774209286116212,"the website, website, user"
21,usability,0.4920094943084691,0.47028395853215993,0.4861684879135815,0.021725535776309146,0.005841006394887549,0.001807236955561009,0.03177072739595016,"after, streaming movies, the website"
22,availability,0.41795775977666,0.41795775977666,0.41795775977665994,0.0,5.551115123125783e-17,0.0,-0.0016272148605814274,"of, able, able to"
22,performance,0.4514071107227829,0.4412577816944497,0.45056512520948,0.01014932902833321,0.0008419855133028897,-0.04633710301737687,0.004316285150276544,"complete, within, able to"
23,usability,0.5477974830115699,0.49029350946418315,0.5347005978218048,0.05750397354738679,0.01309688518976515,-0.05013903726590374,0.07180417186179117,"use, to use, after"
24,operability,0.4522517282410076,0.43768647466130445,0.4503294982569308,0.014565253579703175,0.0019222299840768176,-0.01893297406075589,0.011187079901611385,"within the, operate within, operate"
25,operability,0.5620818107842129,0.45710115520713024,0.5406416448215022,0.1049806555770827,0.0214401659627107,-0.07428497659251787,0.07356307645707583,"interface with, interface, with"
26,look_and_feel,0.4689174962194874,0.4494669464766666,0.4616089904862347,0.019450549742820844,0.0073085057332527015,-0.005503865425493026,0.01796635066514468,"interface, have, interface shall"
27,security,0.4783452533304378,0.4488833600774848,0.47058922568675526,0.02946189325295301,0.00775602764368255,-0.018965368996086696,0.017387835895654624,"prevent, malicious, shall prevent"
28,scalability,0.5148425975302854,0.42035011777537284,0.4849691616807259,0.09449247975491254,0.029873435849559482,-0.02855077309218823,0.07434297810724927,"000, simultaneous users, simultaneous"
29,look_and_feel,0.4634655209578207,0.44231591267913234,0.45952712227919773,0.021149608278688337,0.003938398678622945,-0.049309114780144214,0.014050009792588025,"the website, website, and"
30,portability,0.6070489792703834,0.5112495223644968,0.5785857578836614,0.09579945690588654,0.02846322138672197,0.10691638879621979,0.18154920169025607,"internet, run, product must"
31,performance,0.6640203972810073,0.5630866881112535,0.6361058964867292,0.10093370916975375,0.02791450079427804,-0.06405171739982318,0.17486366914194912,"seconds, than, no"
32,look_and_feel,0.4730358793258719,0.4468952131403369,0.46442644424730717,0.026140666185534955,0.008609435078564709,-0.01196987038401598,0.019458261906314944,"that are, table, that"
33,look_and_feel,0.4818068000944767,0.4535068083803095,0.4790165887984722,0.028299991714167194,0.0027902112960044856,-0.023691533727465852,0.03043544881218746,"the website, website, feel"
34,maintainability,0.41177729716313516,0.41177729716313516,0.41187079110205604,0.0,-9.349393892088553e-05,-0.0039400623756151165,-0.0010990315547576013,"new, with the, with"
35,usability,0.5594193069954406,0.5176063222964303,0.554145163658935,0.04181298469901029,0.005274143336505666,0.0313497396353537,0.09469126341022183,"intuitive, 90, minutes"
36,maintainability,0.41549457682384067,0.4117951425969015,0.41484767122775357,0.003699434226939191,0.0006469055960870995,-0.05322559432622348,0.0027125749264713672,"new, software, for"
36,portability,0.43828465493081253,0.408357211071727,0.43603691784302767,0.029927443859085523,0.0022477370877848624,-0.04571824957514403,0.036905171253088176,"systems, product must, the product"
37,usability,0.5641210642866551,0.5178707681956612,0.5545996703569986,0.04625029609099385,0.009521393929656452,0.02697128304044738,0.09134295089807087,"intuitive, be intuitive, and"
38,availability,0.4437010423722427,0.41839535656625265,0.443431509587375,0.025305685805990075,0.0002695327848677431,-0.10534656220348115,0.01396087092667797,"hours, of the, during"
38,scalability,0.4568537309405668,0.4108575013458093,0.45180136467042104,0.04599622959475752,0.0050523662701457694,-0.08257971295534061,0.0375005442918262,"to handle, handle, able"
39,fault_tolerance,0.4175466022183602,0.4017829270578411,0.41361394152988135,0.01576367516051913,0.003932660688478862,-0.005670744577614906,0.014542229784917537,"fault, robust, have fault"
39,performance,0.4407682453772891,0.4407682453772891,0.44076824537728904,0.0,5.551115123125783e-17,0.0,-4.4988838047155255e-06,"product, the product, product shall"
40,performance,0.4407682453772891,0.4407682453772891,0.44079642993788526,0.0,-2.8184560596167252e-05,0.0,-0.001377133834579769,"report, product, the product"
40,usability,0.46286323044325,0.4576234204875496,0.46179314009680406,0.005239809955700392,0.001070090346445951,0.0002072228367050455,0.0069679387853072705,"users, their, the users"
41,look_and_feel,0.4592304977774353,0.44657927273906944,0.4556399807282764,0.012651225038365854,0.0035905170491589145,-0.001011327847973753,0.011269670545126065,"page, navigation, current"
42,performance,0.4628762105974982,0.44271416133279207,0.4594696557980984,0.02016204926470616,0.00340655479939983,-0.10053485454840766,0.0153503183036236,"minutes, within, time"
43,maintainability,0.4199715114059947,0.41318386189305073,0.41878834044182744,0.006787649512943972,0.0011831709641672572,-0.005019967449366891,0.0029717417856595096,"updates, website, to update"
43,usability,0.4540550221748086,0.4540550221748086,0.45410648787873137,0.0,-5.1465703922781714e-05,-0.0019273598909633205,-0.0011461633252012882,"the website, day, to"
44,legal,0.41969499364014395,0.40741212056482135,0.419179544024464,0.012282873075322609,0.0005154496156799526,-0.08078154247489167,0.009463760996719917,"corporate, the corporate, by"
